CardId,Normal,Foil,Name,Set
UNL-023,0,1,Katarina - Reckless,Unleashed
UNL-025,0,1,Undying Legion,Unleashed
UNL-079,0,1,Diana - Lunari,Unleashed
UNL-014,1,0,Monster Harpoon,Unleashed
UNL-016,1,0,Scorchclaw,Unleashed
UNL-206,1,0,Altar of Blood,Unleashed
UNL-005,2,0,Revna the Lorekeeper,Unleashed
UNL-207,1,0,Amateur Recital,Unleashed
UNL-037,2,0,Shadow Watcher,Unleashed
UNL-110,0,1,Clash of Giants,Unleashed
UNL-041,1,0,"Allay, Eager Admirer",Unleashed
UNL-162,1,0,Enthralling Protector,Unleashed
UNL-174,0,1,Shard of Undoing,Unleashed
UNL-213,1,0,Gardens of Becoming,Unleashed
UNL-102,1,0,Crowd Favorite,Unleashed
UNL-167,1,0,Starhound,Unleashed
UNL-148,0,1,Cursed Sarcophagus,Unleashed
UNL-185,0,1,Pyke - Bloodharbor Ripper,Unleashed
UNL-046,2,0,Friendship,Unleashed
UNL-137,2,0,Sinister Poro,Unleashed
UNL-183,0,1,Rengar - Pridestalker,Unleashed
SFD-116,0,1,Yone - Blademaster,Spiritforged
SFD-205,0,1,Fiora - Grand Duelist,Spiritforged
SFD-080,0,1,Bellows Breath,Spiritforged
SFD-179,0,1,Corina Veraza,Spiritforged
SFD-173,0,1,Soraka - Wanderer,Spiritforged
UNL-146,0,1,Syndra - Transcendent,Unleashed
UNL-191,0,1,Master Yi - Wuju Master,Unleashed
UNL-083,0,1,Smoke and Mirrors,Unleashed
SFD-203,0,1,Sivir - Battle Mistress,Spiritforged
SFD-076,1,0,Production Surge,Spiritforged
UNL-132,2,0,Angler Beast,Unleashed
UNL-002,3,0,Inferna,Unleashed
UNL-138,2,0,The List,Unleashed
UNL-096,3,0,Hunter's Machete,Unleashed
UNL-140,0,1,Conscription,Unleashed
UNL-013,1,0,Lotus Trap,Unleashed
UNL-022,0,1,Jhin - Murderous Artist,Unleashed
SFD-056,0,1,Sterak's Gage,Spiritforged
SFD-016,1,0,Recurve Bow,Spiritforged
SFD-210,1,0,Hall of Legends,Spiritforged
SFD-214,1,0,Power Nexus,Spiritforged
SFD-209,1,0,Forgotten Monument,Spiritforged
SFD-216,1,0,Rockfall Path,Spiritforged
SFD-220,2,0,Treasure Hoard,Spiritforged
UNL-214,1,0,Ripper's Bay,Unleashed
SFD-213,2,0,Ornn's Forge,Spiritforged
UNL-208,1,0,Black Flame Altar,Unleashed
SFD-221,1,0,Veiled Temple,Spiritforged
UNL-209,1,0,Dusk Rose Lab,Unleashed
UNL-219,1,0,Vaults of Helia,Unleashed
SFD-219,2,0,The Papertree,Spiritforged
UNL-099,2,0,Towering Combatant,Unleashed
UNL-010,2,0,Vault Breaker,Unleashed
UNL-067,2,0,Ruined Rex,Unleashed
UNL-130,2,0,Walking Roost,Unleashed
UNL-155,2,0,Heroic Charge,Unleashed
UNL-036,2,0,Mutated Mouser,Unleashed
UNL-068,2,0,Spectral Centaur,Unleashed
UNL-124,2,0,Isolate,Unleashed
UNL-136,1,0,Scryer's Bloom,Unleashed
UNL-160,2,0,Ultrasoft Poro,Unleashed
UNL-156,2,0,Loyal Poro,Unleashed
UNL-144,0,1,Maduli the Gatekeeper,Unleashed
UNL-007,2,0,Smite,Unleashed
UNL-008,2,0,Towering Pairofant,Unleashed
UNL-004,2,0,Prepared Neophyte,Unleashed
UNL-123,3,0,Evershade Stalker,Unleashed
UNL-100,2,0,Voracious Gromp,Unleashed
SFD-139,0,1,Edge of Night,Spiritforged
SFD-014,1,0,Minotaur Reckoner,Spiritforged
SFD-134,1,0,Cull,Spiritforged
SFD-018,2,0,Void Hatchling,Spiritforged
SFD-023,0,1,Piercing Light,Spiritforged
SFD-092,3,0,Combat Chef,Spiritforged
SFD-122,3,0,Called Shot,Spiritforged
SFD-193,0,1,Jax - Grandmaster At Arms,Spiritforged
UNL-211,2,0,Forgotten Library,Unleashed
UNL-210,1,0,Forbidding Waste,Unleashed
UNL-161,1,0,Divining Shells,Unleashed
UNL-101,1,0,Call to Battle,Unleashed
UNL-199,0,2,LeBlanc - Deceiver,Unleashed
UNL-218,1,0,Valley of Idols,Unleashed
UNL-163,3,0,Mageseeker Investigator,Unleashed
UNL-070,3,0,Turn to Dust,Unleashed
UNL-040,3,0,Wuju Apprentice,Unleashed
UNL-085,0,1,Sumpworks Map,Unleashed
UNL-055,0,1,Vex - Mocking,Unleashed
UNL-157,3,0,Scrutinizing Sergeant,Unleashed
UNL-011,1,0,Fresh Beans,Unleashed
