Product ID,TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,Printing,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
653046,8927497,Riftbound: League of Legends Trading Card Game,Origins,Icathian Rain,,248/298,Epic,Near Mint,Foil,2.36,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/653046_in_200x200.jpg
652935,8926702,Riftbound: League of Legends Trading Card Game,Origins,Lee Sin - Centered,,151/298,Rare,Near Mint,Foil,0.17,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652935_in_200x200.jpg
652961,8926867,Riftbound: League of Legends Trading Card Game,Origins,Rebuke,,172/298,Common,Near Mint,Normal,0.25,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652961_in_200x200.jpg
652819,8925767,Riftbound: League of Legends Trading Card Game,Origins,Charm,,043/298,Common,Near Mint,Normal,0.62,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652819_in_200x200.jpg
652909,8926462,Riftbound: League of Legends Trading Card Game,Origins,Body Rune,,126/298,Common,Near Mint,Normal,0.10,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652909_in_200x200.jpg
652962,8926877,Riftbound: League of Legends Trading Card Game,Origins,Ride The Wind,,173/298,Common,Near Mint,Normal,0.42,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652962_in_200x200.jpg
652834,8925917,Riftbound: League of Legends Trading Card Game,Origins,Discipline,,058/298,Uncommon,Near Mint,Normal,1.71,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652834_in_200x200.jpg
652920,8926567,Riftbound: League of Legends Trading Card Game,Origins,Pit Rookie,,136/298,Common,Near Mint,Normal,0.13,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652920_in_200x200.jpg
652822,8925797,Riftbound: League of Legends Trading Card Game,Origins,En Garde,,046/298,Common,Near Mint,Normal,0.18,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652822_in_200x200.jpg
652817,8925752,Riftbound: League of Legends Trading Card Game,Origins,Calm Rune,,042/298,Common,Near Mint,Normal,0.13,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652817_in_200x200.jpg
653230,8928562,Riftbound: League of Legends Trading Card Game,Origins,Viktor - Innovator (Alternate Art),,117a/298,Showcase,Near Mint,Foil,1.16,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/653230_in_200x200.jpg
652916,8926527,Riftbound: League of Legends Trading Card Game,Origins,First Mate,,132/298,Common,Near Mint,Normal,0.20,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652916_in_200x200.jpg
652823,8925807,Riftbound: League of Legends Trading Card Game,Origins,Find Your Center,,047/298,Common,Near Mint,Normal,0.16,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652823_in_200x200.jpg
652821,8925787,Riftbound: League of Legends Trading Card Game,Origins,Defy,,045/298,Common,Near Mint,Normal,2.59,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652821_in_200x200.jpg
652992,8927107,Riftbound: League of Legends Trading Card Game,Origins,Invert Timelines,,201/298,Epic,Near Mint,Foil,15.15,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652992_in_200x200.jpg
652814,8925737,Riftbound: League of Legends Trading Card Game,Origins,Seal of Rage,,040/298,Epic,Near Mint,Foil,29.64,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652814_in_200x200.jpg
652912,8926487,Riftbound: League of Legends Trading Card Game,Origins,Challenge,,128/298,Common,Near Mint,Normal,0.26,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652912_in_200x200.jpg
652972,8926977,Riftbound: League of Legends Trading Card Game,Origins,Stacked Deck,,183/298,Uncommon,Near Mint,Normal,7.22,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652972_in_200x200.jpg
652958,8926837,Riftbound: League of Legends Trading Card Game,Origins,Gust,,169/298,Common,Near Mint,Normal,0.18,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652958_in_200x200.jpg
652954,8926802,Riftbound: League of Legends Trading Card Game,Origins,Chaos Rune,,166/298,Common,Near Mint,Normal,0.14,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652954_in_200x200.jpg
652879,8926257,Riftbound: League of Legends Trading Card Game,Origins,Energy Conduit,,098/298,Uncommon,Near Mint,Normal,0.12,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652879_in_200x200.jpg
653023,8927377,Riftbound: League of Legends Trading Card Game,Origins,Vengeance,,229/298,Uncommon,Near Mint,Normal,0.22,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/653023_in_200x200.jpg
652883,8926297,Riftbound: League of Legends Trading Card Game,Origins,Portal Rescue,,102/298,Uncommon,Near Mint,Normal,0.17,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652883_in_200x200.jpg
652966,8926917,Riftbound: League of Legends Trading Card Game,Origins,Stealthy Pursuer,,177/298,Common,Near Mint,Normal,0.07,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652966_in_200x200.jpg
653009,8927237,Riftbound: League of Legends Trading Card Game,Origins,Petty Officer,,215/298,Common,Near Mint,Normal,0.04,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/653009_in_200x200.jpg
652781,8925497,Riftbound: League of Legends Trading Card Game,Origins,Legion Rearguard,,010/298,Common,Near Mint,Normal,0.10,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652781_in_200x200.jpg
652779,8925477,Riftbound: League of Legends Trading Card Game,Origins,Get Excited!,,008/298,Common,Near Mint,Normal,0.06,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652779_in_200x200.jpg
652863,8926102,Riftbound: League of Legends Trading Card Game,Origins,Consult the Past,,083/298,Common,Near Mint,Normal,0.18,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652863_in_200x200.jpg
652824,8925817,Riftbound: League of Legends Trading Card Game,Origins,Meditation,,048/298,Common,Near Mint,Normal,0.12,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652824_in_200x200.jpg
653001,8927162,Riftbound: League of Legends Trading Card Game,Origins,Cruel Patron,,208/298,Common,Near Mint,Normal,0.10,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/653001_in_200x200.jpg
652875,8926217,Riftbound: League of Legends Trading Card Game,Origins,Sprite Call,,094/298,Common,Near Mint,Normal,0.13,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652875_in_200x200.jpg
