Product ID,TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,Printing,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
685942,9199529,Riftbound: League of Legends Trading Card Game,Unleashed,Arena Kingpin,,001/219,Common,Near Mint,Normal,0.05,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/685942_in_200x200.jpg
686333,9201604,Riftbound: League of Legends Trading Card Game,Unleashed,Bandle Soldier,,151/219,Common,Near Mint,Normal,0.05,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/686333_in_200x200.jpg
652909,8926462,Riftbound: League of Legends Trading Card Game,Origins,Body Rune,,126/298,Common,Near Mint,Normal,0.12,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652909_in_200x200.jpg
685200,9195582,Riftbound: League of Legends Trading Card Game,Unleashed,Concentrate,,091/219,Common,Near Mint,Normal,0.08,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/685200_in_200x200.jpg
684493,9191310,Riftbound: League of Legends Trading Card Game,Unleashed,Crescent Guardian,,122/219,Common,Near Mint,Normal,0.07,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/684493_in_200x200.jpg
684655,9192232,Riftbound: League of Legends Trading Card Game,Unleashed,Deadly Flourish,,073/219,Uncommon,Near Mint,Normal,0.21,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/684655_in_200x200.jpg
684598,9191862,Riftbound: League of Legends Trading Card Game,Unleashed,Demacian Diplomat,,092/219,Common,Near Mint,Normal,0.07,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/684598_in_200x200.jpg
686271,9201201,Riftbound: League of Legends Trading Card Game,Unleashed,Double Trouble,,032/219,Common,Near Mint,Normal,0.05,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/686271_in_200x200.jpg
685681,9198214,Riftbound: League of Legends Trading Card Game,Unleashed,Dragonsoul Sage,,093/219,Common,Near Mint,Normal,0.09,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/685681_in_200x200.jpg
685678,9198184,Riftbound: League of Legends Trading Card Game,Unleashed,Dramatic Visionary,,062/219,Common,Near Mint,Normal,0.04,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/685678_in_200x200.jpg
685023,9194051,Riftbound: League of Legends Trading Card Game,Unleashed,Forgotten Library,,211/219,Uncommon,Near Mint,Normal,0.06,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/685023_in_200x200.jpg
685594,9197719,Riftbound: League of Legends Trading Card Game,Unleashed,Heroic Charge,,155/219,Common,Near Mint,Normal,0.07,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/685594_in_200x200.jpg
