CardId,Normal,Foil,Name,Set
OGN-056,1,0,Adaptatron,Origins
OGN-045,1,0,Defy,Origins
OGN-173,1,0,Ride The Wind,Origins
OGN-043,1,0,Charm,Origins
OGN-169,1,0,Gust,Origins
OGN-132,2,0,First Mate,Origins
OGN-042,2,0,Calm Rune,Origins
OGN-046,1,0,En Garde,Origins
OGN-166,1,0,Chaos Rune,Origins
OGN-289,1,0,Targon's Peak,Origins
OGN-128,1,0,Challenge,Origins
OGN-156,0,1,Sabotage,Origins
OGN-126,1,0,Body Rune,Origins
OGN-148,0,1,Anivia - Primal,Origins
OGN-070,0,1,Mageseeker Warden,Origins
OGN-200,0,1,Twisted Fate - Gambler,Origins
OGN-111,0,1,Heimerdinger - Inventor,Origins
OGN-118,0,1,Wraith of Echoes,Origins
OGN-157,0,1,Udyr - Wildman,Origins
OGN-066,0,1,Ahri - Alluring,Origins
OGN-194,0,1,Nocturne - Horrifying,Origins
OGN-239,0,1,Machine Evangel,Origins
OGN-109,0,2,Dr. Mundo - Expert,Origins
OGN-195,0,1,Rhasa the Sunderer,Origins
OGN-230,0,1,Albus Ferros,Origins
OGN-027,0,1,Darius - Trifarian,Origins
OGN-151,0,1,Lee Sin - Centered,Origins
OGN-232,0,1,Fiora - Victorious,Origins
OGN-069,0,1,Last Stand,Origins
OGN-159,0,1,Warwick - Hunter,Origins
OGN-114,0,1,Progress Day,Origins
OGN-074,0,1,Taric - Protector,Origins
OGN-076,0,1,Yasuo - Remorseful,Origins
OGN-078,0,1,Lee Sin - Ascetic,Origins
OGN-041,0,1,Volibear - Furious,Origins
OGN-202a,0,1,Jinx - Rebel (Alternate Art),Origins
OGN-164,0,1,Sett - Brawler,Origins
OGN-133,1,0,Flurry of Blades,Origins
OGN-004,1,0,Cleave,Origins
OGN-181,1,0,Pack of Wonders,Origins
OGN-093,1,0,Smoke Screen,Origins
OGN-209,1,0,Cull the Weak,Origins
OGN-024,1,0,Void Seeker,Origins
OGN-096,2,0,Watchful Sentry,Origins
OGN-095,2,0,Stupefy,Origins
OGN-009,1,0,Hextech Ray,Origins
OGN-138,1,0,Catalyst of Aeons,Origins
OGN-136,2,0,Pit Rookie,Origins
OGN-207,1,0,Call to Glory,Origins
OGN-172,2,0,Rebuke,Origins
OGN-012,1,0,Noxus Hopeful,Origins
OGN-216,1,0,Soaring Scout,Origins
OGN-052,1,0,Stalwart Poro,Origins
OGN-213,1,0,Hidden Blade,Origins
OGN-176,1,0,Sneaky Deckhand,Origins
OGN-134,2,0,Mobilize,Origins
OGN-280,1,0,Grove of the God-Willow,Origins
OGN-282,1,0,Monastery of Hirana,Origins
OGN-288,1,0,Startipped Peak,Origins
OGN-290,1,0,The Arena's Greatest,Origins
OGN-263,0,1,Teemo - Swift Scout,Origins
OGN-267,0,1,Miss Fortune - Bounty Hunter,Origins
OGN-007,1,0,Fury Rune,Origins
OGN-214,1,0,Order Rune,Origins
OGN-089,1,0,Mind Rune,Origins
OGN-278,1,0,Bandle Tree,Origins
OGN-291,1,0,The Candlelit Sanctum,Origins
OGN-285,1,0,Reaver's Row,Origins
OGN-279,1,0,Fortified Position,Origins
OGN-298,1,0,Zaun Warrens,Origins
OGN-277,1,0,Back-Alley Bar,Origins
OGN-286,1,0,Reckoner's Arena,Origins
OGN-272,1,0,Recruit (272) // Buff,Origins
OGN-274,1,0,Sprite (274) // Buff,Origins
OGN-273,1,0,Recruit (273) // Buff,Origins
OGN-271,1,0,Recruit (271) // Buff,Origins
OGN-047,2,0,Find Your Center,Origins
OGN-018,1,0,Noxus Saboteur,Origins
OGN-023,1,0,Unlicensed Armory,Origins
OGN-222,1,0,Noxian Drummer,Origins
OGN-174,1,0,Sai Scout,Origins
OGN-211,1,0,Faithful Manufactor,Origins
OGN-206,1,0,Back to Back,Origins
OGN-014,1,0,Sky Splitter,Origins
OGN-221,1,0,Imperial Decree,Origins
OGN-217,1,0,Trifarian Gloryseeker,Origins
OGN-178,1,0,Undercover Agent,Origins
OGN-090,1,0,Orb of Regret,Origins
OGN-165,1,0,Cemetery Attendant,Origins
OGN-002,1,0,Brazen Buccaneer,Origins
OGN-146,1,0,Wallop,Origins
OGN-098,1,0,Energy Conduit,Origins
OGN-177,1,0,Stealthy Pursuer,Origins
OGN-215,1,0,Petty Officer,Origins
OGN-010,1,0,Legion Rearguard,Origins
OGN-013,1,0,Pouty Poro,Origins
OGN-051,1,0,Solari Shieldbearer,Origins
OGN-088,1,0,Mega-Mech,Origins
OGN-127,1,0,Cannon Barrage,Origins
OGN-064,1,0,Wind Wall,Origins
OGN-139,1,0,Cithria of Cloudfield,Origins
OGN-180,1,0,Fading Memories,Origins
OGN-048,1,0,Meditation,Origins
OGN-208,1,0,Cruel Patron,Origins
OGN-137,1,0,Stormclaw Ursine,Origins
OGN-001,1,0,Blazing Scorcher,Origins
OGN-050,1,0,Rune Prison,Origins
OGN-017,1,0,Iron Ballista,Origins
OGN-087,1,0,Lecturing Yordle,Origins
OGN-219,1,0,Vanguard Sergeant,Origins
OGN-218,1,0,Vanguard Captain,Origins
OGN-008,2,0,Get Excited!,Origins
OGN-063,1,0,Spirit's Refuge,Origins
OGN-019,1,0,Raging Soul,Origins
OGN-223,2,0,Peak Guardian,Origins
OGN-055,1,0,Wielder of Water,Origins
OGN-131,1,0,Dune Drake,Origins
OGN-005,1,0,Disintegrate,Origins
OGN-065,1,0,Wizened Elder,Origins
OGN-099,1,0,Garbage Grabber,Origins
OGN-011,1,0,Magma Wurm,Origins
OGN-049,1,0,Playful Phantom,Origins
OGN-044,1,0,Clockwork Keeper,Origins
OGN-054,2,0,Sunlit Guardian,Origins
OGN-092,1,0,Riptide Rex,Origins
OGN-130,1,0,Crackshot Corsair,Origins
OGN-168,1,0,Fight or Flight,Origins
OGN-147,1,0,Wildclaw Shaman,Origins
OGN-086,1,0,Jeweled Colossus,Origins
OGN-124,1,0,Arena Bar,Origins
OGN-135,1,0,Pakaa Cub,Origins
OGN-091,1,0,Pit Crew,Origins
OGN-053,1,0,Stand United,Origins
OGN-061,1,0,Poro Herder,Origins
OGN-140,1,0,Herald of Scales,Origins
OGN-210,1,0,Daring Poro,Origins
OGN-175,1,0,Shipyard Skulker,Origins
OGN-212,1,0,Forge of the Future,Origins
OGN-129,1,0,Confront,Origins
OGN-167,1,0,Ember Monk,Origins
OGN-003,1,0,Chemtech Enforcer,Origins
OGN-057,1,0,Block,Origins
OGN-182,2,0,Scrapheap,Origins
OGN-085,1,0,Falling Comet,Origins
OGN-170,1,0,Morbid Return,Origins
OGN-006,1,0,Flame Chompers,Origins
OGN-125,2,0,Bilgewater Bully,Origins
OGN-141,1,0,Kinkou Monk,Origins
OGN-084,2,0,Eager Apprentice,Origins
OGN-171,1,0,Mystic Poro,Origins
OGN-083,2,0,Consult the Past,Origins
OGN-094,2,0,Sprite Call,Origins
