CardId,Normal,Foil,Name,Set
UNL-001,1,0,Arena Kingpin,Unleashed
UNL-151,1,0,Bandle Soldier,Unleashed
OGN-126,1,0,Body Rune,Origins
UNL-091,1,0,Concentrate,Unleashed
UNL-122,1,0,Crescent Guardian,Unleashed
UNL-073,1,0,Deadly Flourish,Unleashed
UNL-092,1,0,Demacian Diplomat,Unleashed
UNL-032,1,0,Double Trouble,Unleashed
UNL-093,1,0,Dragonsoul Sage,Unleashed
UNL-062,1,0,Dramatic Visionary,Unleashed
UNL-211,1,0,Forgotten Library,Unleashed
UNL-155,1,0,Heroic Charge,Unleashed
UNL-124,2,0,Isolate,Unleashed
UNL-023,0,1,Katarina - Reckless,Unleashed
UNL-012,1,0,Lord Broadmane,Unleashed
UNL-156,1,0,Loyal Poro,Unleashed
UNL-144,0,1,Maduli the Gatekeeper,Unleashed
UNL-126,1,0,Megatusk,Unleashed
OGN-214,1,0,Order Rune,Origins
UNL-015,1,0,Right of Conquest,Unleashed
UNL-016,1,0,Scorchclaw,Unleashed
UNL-136,1,0,Scryer's Bloom,Unleashed
UNL-007,1,0,Smite,Unleashed
UNL-068,1,0,Spectral Centaur,Unleashed
UNL-160,1,0,Ultrasoft Poro,Unleashed
UNL-025,0,2,Undying Legion,Unleashed
